@relation energy

@attribute EnegyLevel numeric
@attribute EnegyClass {Otimo,Regular}
@attribute NodeNumberAttribute string

@data

32,Regular,'96'
37,Regular,'65'
54,Regular,'62'
56,Regular,'68'
77,Otimo,'91'
87,Otimo,'8'
83,Otimo,'51'
77,Otimo,'37'
98,Otimo,'44'
83,Otimo,'78'
79,Otimo,'91'
83,Otimo,'8'
80,Otimo,'51'
90,Otimo,'37'
98,Otimo,'44'
93,Otimo,'78'
26,Regular,'21'
96,Otimo,'32'
17,Regular,'96'
25,Regular,'93'
82,Otimo,'3'
79,Otimo,'18'
83,Otimo,'51'
77,Otimo,'37'
98,Otimo,'44'
83,Otimo,'78'
63,Regular,'92'
65,Regular,'18'
48,Regular,'16'
85,Otimo,'89'
83,Otimo,'51'
77,Otimo,'37'
98,Otimo,'44'
83,Otimo,'78'
20,Regular,'3'
81,Otimo,'61'
95,Otimo,'55'
35,Regular,'91'
36,Regular,'36'
96,Otimo,'41'
48,Regular,'52'
69,Regular,'16'
60,Regular,'31'
43,Regular,'73'
97,Otimo,'45'
95,Otimo,'35'
83,Otimo,'51'
77,Otimo,'37'
98,Otimo,'44'
83,Otimo,'78'
100,Otimo,'45'
98,Otimo,'35'
75,Otimo,'51'
79,Otimo,'37'
85,Otimo,'44'
81,Otimo,'78'
24,Regular,'8'
48,Regular,'50'
25,Regular,'90'
25,Regular,'20'
49,Regular,'46'
10,Regular,'81'
3,Regular,'34'
93,Otimo,'13'
72,Regular,'39'
82,Otimo,'78'
79,Otimo,'71'
73,Regular,'39'
81,Otimo,'33'
77,Otimo,'96'
55,Regular,'6'
20,Regular,'67'
52,Regular,'37'
77,Otimo,'50'
100,Otimo,'40'
64,Regular,'43'
52,Regular,'52'
40,Regular,'7'
2,Regular,'57'
33,Regular,'33'
65,Regular,'49'
50,Regular,'48'
60,Regular,'17'
42,Regular,'77'
72,Regular,'84'
84,Otimo,'80'
77,Otimo,'30'
37,Regular,'17'
11,Regular,'38'
85,Otimo,'47'
63,Regular,'14'
41,Regular,'44'
77,Otimo,'14'
42,Regular,'13'
55,Regular,'78'
48,Regular,'65'
94,Otimo,'43'
15,Regular,'97'
38,Regular,'97'
59,Regular,'88'
78,Otimo,'68'
33,Regular,'69'
99,Otimo,'98'
92,Otimo,'88'
53,Regular,'34'
74,Regular,'3'
1,Regular,'85'
37,Regular,'49'
30,Regular,'93'
96,Otimo,'45'
42,Regular,'83'
12,Regular,'95'
29,Regular,'49'
93,Otimo,'34'
32,Regular,'35'
20,Regular,'18'
71,Regular,'73'
94,Otimo,'88'
31,Regular,'78'
76,Otimo,'71'
60,Regular,'71'
81,Otimo,'24'
6,Regular,'93'
53,Regular,'16'
79,Otimo,'49'
96,Otimo,'73'
10,Regular,'29'
19,Regular,'97'
24,Regular,'21'
87,Otimo,'54'
72,Regular,'94'
80,Otimo,'36'
58,Regular,'85'
34,Regular,'48'
28,Regular,'20'
74,Regular,'2'
86,Otimo,'89'
25,Regular,'42'
84,Otimo,'50'
21,Regular,'80'
65,Regular,'24'
58,Regular,'31'
71,Regular,'85'
18,Regular,'31'
76,Otimo,'50'
33,Regular,'25'
87,Otimo,'17'
50,Regular,'58'
53,Regular,'54'
6,Regular,'68'
76,Otimo,'94'
50,Regular,'92'
44,Regular,'32'
74,Regular,'22'
19,Regular,'21'
98,Otimo,'65'
83,Otimo,'51'
77,Otimo,'37'
98,Otimo,'44'
83,Otimo,'78'
55,Regular,'28'
22,Regular,'86'
93,Otimo,'83'
89,Otimo,'77'
18,Regular,'86'
93,Otimo,'19'
33,Regular,'55'
62,Regular,'76'
95,Otimo,'52'
63,Regular,'64'
37,Regular,'57'
91,Otimo,'62'
59,Regular,'89'
74,Regular,'33'
40,Regular,'68'
12,Regular,'64'
97,Otimo,'65'
24,Regular,'64'
43,Regular,'7'
34,Regular,'61'
52,Regular,'74'
20,Regular,'10'
68,Regular,'47'
76,Otimo,'87'
21,Regular,'89'
78,Otimo,'96'
54,Regular,'4'
24,Regular,'59'
7,Regular,'89'
93,Otimo,'45'
96,Otimo,'11'
44,Regular,'29'
42,Regular,'54'
100,Otimo,'51'
30,Regular,'57'
3,Regular,'94'
