@relation energy

@attribute Otimo numeric
@attribute Regular numeric
@attribute class {Otimo,Regular}
@attribute NodeNumberAttribute string

@data

0,13,Regular,'1'
0,25,Regular,'2'
0,37,Regular,'3'
64,0,Otimo,'4'
82,0,Otimo,'5'
91,0,Otimo,'6'
53,0,Otimo,'7'
0,26,Regular,'8'
0,23,Regular,'9'
0,33,Regular,'10'
0,26,Regular,'11'
68,0,Otimo,'12'
83,0,Otimo,'13'
91,0,Otimo,'14'
0,34,Regular,'15'
65,0,Otimo,'16'
69,0,Otimo,'17'
0,45,Regular,'18'
0,10,Regular,'19'
51,0,Otimo,'20'
0,5,Regular,'21'
0,4,Regular,'22'
75,0,Otimo,'23'
69,0,Otimo,'24'
0,6,Regular,'25'
69,0,Otimo,'26'
0,25,Regular,'27'
69,0,Otimo,'28'
76,0,Otimo,'29'
0,43,Regular,'30'
95,0,Otimo,'31'
0,39,Regular,'32'
77,0,Otimo,'33'
80,0,Otimo,'34'
0,1,Regular,'35'
0,15,Regular,'36'
0,0,Regular,'37'
55,0,Otimo,'38'
0,32,Regular,'39'
62,0,Otimo,'40'
77,0,Otimo,'41'
91,0,Otimo,'42'
0,31,Regular,'43'
96,0,Otimo,'44'
0,31,Regular,'45'
0,38,Regular,'46'
56,0,Otimo,'47'
0,30,Regular,'48'
73,0,Otimo,'49'
76,0,Otimo,'50'
57,0,Otimo,'51'
93,0,Otimo,'52'
92,0,Otimo,'53'
0,41,Regular,'54'
76,0,Otimo,'55'
0,42,Regular,'56'
86,0,Otimo,'57'
73,0,Otimo,'58'
0,46,Regular,'59'
0,15,Regular,'60'
58,0,Otimo,'61'
53,0,Otimo,'62'
85,0,Otimo,'63'
0,9,Regular,'64'
0,33,Regular,'65'
59,0,Otimo,'66'
72,0,Otimo,'67'
92,0,Otimo,'68'
53,0,Otimo,'69'
60,0,Otimo,'70'
0,9,Regular,'71'
0,5,Regular,'72'
0,22,Regular,'73'
0,27,Regular,'74'
84,0,Otimo,'75'
95,0,Otimo,'76'
0,16,Regular,'77'
0,13,Regular,'78'
0,49,Regular,'79'
0,20,Regular,'80'
80,0,Otimo,'81'
86,0,Otimo,'82'
0,25,Regular,'83'
0,34,Regular,'84'
0,28,Regular,'85'
0,14,Regular,'86'
0,17,Regular,'87'
68,0,Otimo,'88'
72,0,Otimo,'89'
90,0,Otimo,'90'
0,6,Regular,'91'
61,0,Otimo,'92'
0,20,Regular,'93'
0,32,Regular,'94'
0,17,Regular,'95'
0,36,Regular,'96'
84,0,Otimo,'97'
77,0,Otimo,'98'
58,0,Otimo,'1'
78,0,Otimo,'2'
0,36,Regular,'3'
0,23,Regular,'4'
0,44,Regular,'5'
0,29,Regular,'6'
0,40,Regular,'7'
95,0,Otimo,'8'
0,29,Regular,'9'
95,0,Otimo,'10'
62,0,Otimo,'11'
100,0,Otimo,'12'
0,13,Regular,'13'
60,0,Otimo,'14'
0,24,Regular,'15'
67,0,Otimo,'16'
100,0,Otimo,'17'
80,0,Otimo,'18'
60,0,Otimo,'19'
0,33,Regular,'20'
0,21,Regular,'21'
82,0,Otimo,'22'
0,40,Regular,'23'
0,1,Regular,'24'
80,0,Otimo,'25'
0,5,Regular,'26'
0,39,Regular,'27'
72,0,Otimo,'28'
0,13,Regular,'29'
0,22,Regular,'30'
0,7,Regular,'31'
73,0,Otimo,'32'
71,0,Otimo,'33'
0,27,Regular,'34'
0,31,Regular,'35'
79,0,Otimo,'36'
0,5,Regular,'37'
0,8,Regular,'38'
0,44,Regular,'39'
88,0,Otimo,'40'
0,49,Regular,'41'
77,0,Otimo,'42'
97,0,Otimo,'43'
100,0,Otimo,'44'
87,0,Otimo,'45'
0,42,Regular,'46'
76,0,Otimo,'47'
0,16,Regular,'48'
79,0,Otimo,'49'
59,0,Otimo,'50'
0,34,Regular,'51'
0,7,Regular,'52'
0,34,Regular,'53'
63,0,Otimo,'54'
90,0,Otimo,'55'
0,9,Regular,'56'
0,8,Regular,'57'
0,41,Regular,'58'
0,39,Regular,'59'
0,19,Regular,'60'
0,13,Regular,'61'
57,0,Otimo,'62'
97,0,Otimo,'63'
61,0,Otimo,'64'
0,14,Regular,'65'
0,22,Regular,'66'
0,34,Regular,'67'
0,49,Regular,'68'
0,33,Regular,'69'
57,0,Otimo,'70'
74,0,Otimo,'71'
0,37,Regular,'72'
0,35,Regular,'73'
0,31,Regular,'74'
61,0,Otimo,'75'
0,37,Regular,'76'
53,0,Otimo,'77'
81,0,Otimo,'78'
0,4,Regular,'79'
0,22,Regular,'80'
0,35,Regular,'81'
0,16,Regular,'82'
67,0,Otimo,'83'
54,0,Otimo,'84'
0,8,Regular,'85'
50,0,Otimo,'86'
58,0,Otimo,'87'
0,7,Regular,'88'
86,0,Otimo,'89'
59,0,Otimo,'90'
77,0,Otimo,'91'
93,0,Otimo,'92'
75,0,Otimo,'93'
0,37,Regular,'94'
97,0,Otimo,'95'
0,28,Regular,'96'
93,0,Otimo,'97'
78,0,Otimo,'98'
56,0,Otimo,'1'
0,23,Regular,'2'
0,38,Regular,'3'
0,10,Regular,'4'
0,11,Regular,'5'
95,0,Otimo,'6'
0,38,Regular,'7'
0,4,Regular,'8'
0,28,Regular,'9'
74,0,Otimo,'10'
72,0,Otimo,'11'
78,0,Otimo,'12'
0,46,Regular,'13'
0,30,Regular,'14'
92,0,Otimo,'15'
0,30,Regular,'16'
0,30,Regular,'17'
62,0,Otimo,'18'
82,0,Otimo,'19'
0,25,Regular,'20'
84,0,Otimo,'21'
0,19,Regular,'22'
90,0,Otimo,'23'
0,30,Regular,'24'
72,0,Otimo,'25'
76,0,Otimo,'26'
0,4,Regular,'27'
63,0,Otimo,'28'
97,0,Otimo,'29'
0,44,Regular,'30'
0,18,Regular,'31'
0,2,Regular,'32'
0,11,Regular,'33'
91,0,Otimo,'34'
0,48,Regular,'35'
0,20,Regular,'36'
57,0,Otimo,'37'
0,37,Regular,'38'
0,25,Regular,'39'
72,0,Otimo,'40'
0,44,Regular,'41'
0,42,Regular,'42'
87,0,Otimo,'43'
0,32,Regular,'44'
0,8,Regular,'45'
0,6,Regular,'46'
0,48,Regular,'47'
76,0,Otimo,'48'
56,0,Otimo,'49'
56,0,Otimo,'50'
58,0,Otimo,'51'
91,0,Otimo,'52'
68,0,Otimo,'53'
0,25,Regular,'54'
0,29,Regular,'55'
0,22,Regular,'56'
55,0,Otimo,'57'
0,33,Regular,'58'
0,28,Regular,'59'
83,0,Otimo,'60'
0,43,Regular,'61'
61,0,Otimo,'62'
76,0,Otimo,'63'
90,0,Otimo,'64'
0,11,Regular,'65'
74,0,Otimo,'66'
0,27,Regular,'67'
0,49,Regular,'68'
70,0,Otimo,'69'
0,35,Regular,'70'
0,0,Regular,'71'
0,29,Regular,'72'
0,30,Regular,'73'
67,0,Otimo,'74'
90,0,Otimo,'75'
0,5,Regular,'76'
76,0,Otimo,'77'
0,38,Regular,'78'
89,0,Otimo,'79'
79,0,Otimo,'80'
90,0,Otimo,'81'
0,14,Regular,'82'
0,47,Regular,'83'
0,12,Regular,'84'
0,4,Regular,'85'
0,44,Regular,'86'
0,14,Regular,'87'
93,0,Otimo,'88'
52,0,Otimo,'89'
0,15,Regular,'90'
71,0,Otimo,'91'
99,0,Otimo,'92'
66,0,Otimo,'93'
0,49,Regular,'94'
93,0,Otimo,'95'
0,32,Regular,'96'
0,22,Regular,'97'
0,39,Regular,'98'
80,0,Otimo,'1'
64,0,Otimo,'2'
59,0,Otimo,'3'
100,0,Otimo,'4'
0,19,Regular,'5'
0,13,Regular,'6'
84,0,Otimo,'7'
0,11,Regular,'8'
0,3,Regular,'9'
0,37,Regular,'10'
0,22,Regular,'11'
0,3,Regular,'12'
84,0,Otimo,'13'
91,0,Otimo,'14'
87,0,Otimo,'15'
91,0,Otimo,'16'
94,0,Otimo,'17'
0,46,Regular,'18'
94,0,Otimo,'19'
0,44,Regular,'20'
91,0,Otimo,'21'
0,2,Regular,'22'
89,0,Otimo,'23'
0,46,Regular,'24'
79,0,Otimo,'25'
87,0,Otimo,'26'
99,0,Otimo,'27'
0,13,Regular,'28'
0,10,Regular,'29'
92,0,Otimo,'30'
